,FIPS,County,E
0,6001,Alameda County,100.0
1,6003,Alpine County,100.0
2,6005,Amador County,100.0
3,6007,Butte County,100.0
4,6009,Calaveras County,100.0
5,6011,Colusa County,100.0
6,6013,Contra Costa County,100.0
7,6015,Del Norte County,19.17
8,6017,El Dorado County,100.0
9,6019,Fresno County,100.0
10,6021,Glenn County,100.0
11,6023,Humboldt County,25.05
12,6025,Imperial County,0.0
13,6027,Inyo County,100.0
14,6029,Kern County,100.0
15,6031,Kings County,100.0
16,6033,Lake County,100.0
17,6035,Lassen County,100.0
18,6037,Los Angeles County,98.53
19,6039,Madera County,100.0
20,6041,Marin County,100.0
21,6043,Mariposa County,100.0
22,6045,Mendocino County,78.44
23,6047,Merced County,100.0
24,6049,Modoc County,93.07
25,6051,Mono County,84.07
26,6053,Monterey County,100.0
27,6055,Napa County,100.0
28,6057,Nevada County,100.0
29,6059,Orange County,3.59
30,6061,Placer County,100.0
31,6063,Plumas County,100.0
32,6065,Riverside County,40.81
33,6067,Sacramento County,100.0
34,6069,San Benito County,100.0
35,6071,San Bernardino County,90.66
36,6073,San Diego County,0.0
37,6075,San Francisco County,99.28999999999999
38,6077,San Joaquin County,100.0
39,6079,San Luis Obispo County,100.0
40,6081,San Mateo County,100.0
41,6083,Santa Barbara County,99.96
42,6085,Santa Clara County,100.0
43,6087,Santa Cruz County,100.0
44,6089,Shasta County,99.81
45,6091,Sierra County,100.0
46,6093,Siskiyou County,93.17
47,6095,Solano County,100.0
48,6097,Sonoma County,100.0
49,6099,Stanislaus County,100.0
50,6101,Sutter County,100.0
51,6103,Tehama County,98.0
52,6105,Trinity County,49.08
53,6107,Tulare County,100.0
54,6109,Tuolumne County,100.0
55,6111,Ventura County,98.75
56,6113,Yolo County,100.0
57,6115,Yuba County,100.0
