,MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID,E
27,20210615,6055,Napa County,CA,0.0,0.0,0.0,0.0,0.0,100.0,2021-06-15,2021-06-21,2,100.0
47,20210615,6095,Solano County,CA,0.0,0.0,0.0,0.0,0.0,100.0,2021-06-15,2021-06-21,2,100.0
56,20210615,6113,Yolo County,CA,0.0,0.0,0.0,0.0,0.0,100.0,2021-06-15,2021-06-21,2,100.0
33,20210615,6067,Sacramento County,CA,0.0,0.0,0.0,0.0,0.0,100.0,2021-06-15,2021-06-21,2,100.0
6,20210615,6013,Contra Costa County,CA,0.0,0.0,0.0,0.0,0.0,100.0,2021-06-15,2021-06-21,2,100.0
50,20210615,6101,Sutter County,CA,0.0,0.0,0.0,0.0,0.0,100.0,2021-06-15,2021-06-21,2,100.0
20,20210615,6041,Marin County,CA,0.0,0.0,0.0,0.0,0.0,100.0,2021-06-15,2021-06-21,2,100.0
48,20210615,6097,Sonoma County,CA,0.0,0.0,0.0,0.0,0.65,99.35,2021-06-15,2021-06-21,2,100.0
5,20210615,6011,Colusa County,CA,0.0,0.0,0.0,0.0,2.02,97.98,2021-06-15,2021-06-21,2,100.0
13,20210615,6027,Inyo County,CA,0.0,0.0,0.0,0.0,5.38,94.62,2021-06-15,2021-06-21,2,100.0
